PortOfEntryDistrict,CountryOfOrigin,ProductCode,DateDiff,Status,Product,SubIndustry,UseCase,ProductState,Source,SeafoodCategory,OriginCity,OriginContinent,SecondaryProcessingOriginCity,ProductType,VesselCheck,StorageCondition,IsSafe
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Refrigerated,No
Division of West Coast Imports,Chile,16XGC03,2,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Refrigerated,No
Division of Southeast Imports,Chile,16XVT03,-1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,Vacuum or Modified Atmosphere Packaging,Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Refrigerated,No
Division of Southwest Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Refrigerated,No
Division of West Coast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Refrigerated,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Refrigerated,No
Division of Northeast Imports,Chile,16XVT03,5,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,Vacuum or Modified Atmosphere Packaging,Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Refrigerated,No
Division of West Coast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Refrigerated,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Refrigerated,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Refrigerated,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Refrigerated,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Refrigerated,No
Division of West Coast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Refrigerated,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Refrigerated,No
Division of Southeast Imports,Chile,16XGT03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Refrigerated,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Refrigerated,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Refrigerated,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Refrigerated,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Refrigerated,No
Division of West Coast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Refrigerated,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Refrigerated,No
Division of Southeast Imports,Chile,16XGT03,5,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Refrigerated,No
Division of West Coast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Refrigerated,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Refrigerated,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Refrigerated,No
Division of West Coast Imports,Chile,16XGT03,5,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Refrigerated,No
Division of West Coast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Refrigerated,No
Division of West Coast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Refrigerated,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Refrigerated,No
Division of West Coast Imports,Chile,16XGT03,5,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Refrigerated,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Refrigerated,No
Division of Southeast Imports,Chile,16XGC03,2,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Refrigerated,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Refrigerated,No
Division of Southeast Imports,Chile,16XGC03,2,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Refrigerated,No
Division of West Coast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGD03,0,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGC03,2,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southwest Imports,Chile,16XGC03,2,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of West Coast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of West Coast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of West Coast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGT03,5,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of West Coast Imports,Chile,16XGC03,2,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of West Coast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of West Coast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southwest Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of West Coast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of West Coast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGC03,2,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of West Coast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of West Coast Imports,Chile,16XGD03,5,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Northeast Imports,Chile,16XVT03,2,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,Vacuum or Modified Atmosphere Packaging,Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of West Coast Imports,Chile,16XGC03,2,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of West Coast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of West Coast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGC03,2,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of West Coast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGC03,2,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southwest Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGC03,2,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGC03,2,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of West Coast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of West Coast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of West Coast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Northeast Imports,Chile,16XGT03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of West Coast Imports,Chile,16XGC03,2,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGT03,5,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of West Coast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of West Coast Imports,Chile,16XGD03,5,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of West Coast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of West Coast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of West Coast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of West Coast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southwest Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of West Coast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of West Coast Imports,Chile,16XGC03,2,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGC03,1,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Refrigerated",Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Southeast Imports,Chile,16XGT03,5,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
Division of Northeast Imports,Chile,16XVT03,3,Passed,SALMON,Aquaculture Harvested Fishery/Seafood Products,Vacuum or Modified Atmosphere Packaging,Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Barquito,South America,SANTIAGO,Frozen,YES,Frozen,No
